Alepocephalus agassizii
Alectis alexandrina
Alepidocline annua
Alepocephalus australis
Aleuria aurantia
Alepocephalus bairdii
Alepocephalus bicolor
Alexandrium catenella
Alectoris chukar
Alectis ciliaris
Aleurocanthus camelliae
Alexandrium cohorticula
Aleurodicus dugesii
Aletris farinosa
Alexandrium fundyense
Alectoris graeca
Alectura lathami
Alexandrium minutum
Aleuroglyphus ovatus
Alepocephalus productus
Alexfloydia repens
Alectoris rufa
Alectra sessiliflora
Aleurocanthus spiniferus
Alexandrium tamarense
Alepocephalus tenebrosus
Alebra thoracica
Alepocephalus umbriceps
Algansea tincella
Alcelaphine herpesvirus 1 (strain C500)
Alicyclobacillus acidocaldarius
Alicyclobacillus acidocaldarius subsp. acidocaldarius (strain ATCC 27009 / DSM 446 / JCM 5260 / NBRC 15652 / NCIMB 11725 / NRRL B-14509 / 104-1A)
Alicyclobacillus acidoterrestris (strain ATCC 49025 / DSM 3922 / CIP 106132 / NCIMB 13137 / GD3B)
Alicyclobacillus acidocaldarius (strain Tc-4-1)
Alisma canaliculatum
Aliatypus californicus
Alicycliphilus denitrificans (strain DSM 18852 / JCM 14587 / BC)
Alicycliphilus denitrificans (strain DSM 14773 / CIP 107495 / K601)
Alistipes finegoldii (strain DSM 17242 / JCM 16770 / AHN 2437 / CCUG 46020 / CIP 107999)
Aliivibrio fischeri
Aliatypus janus
Aliivibrio logei
Alionycteris paucidentata
Alisma plantago-aquatica
Aliivibrio salmonicida (strain LFI1238)
Alitta succinea
Aliatypus thompsoni
Alitta virens
Alkalimonas amylolytica
Alkalilimnicola ehrlichii (strain ATCC BAA-1101 / DSM 17681 / MLHE-1)
Alkaliphilus metalliredigens (strain QYMF)
Alkaliphilus oremlandii (strain OhILAs)
Alkhumra hemorrhagic fever virus
Allagoptera arenaria
Alle alle
Allomyces arbusculus
Allamanda cathartica
Allium cepa
Allium cepa var. aggregatum
Allophylus cobbe
Allagoptera caudescens
Allactaga elater
Allotria elonympha
Allobates femoralis
Allium fistulosum
Alloxylon flammeum
Allobates granti
Allium haematochiton
Allionia incarnata
Allomyces macrogynus
